img_id,mod,center_test_z,center_test_y,center_test_x
rem_403,real,118,160,160
rem_403,pix2pix,120,160,160
rem_936,real,115,160,160
rem_405,real,93,146,146
rem_938,real,102,146,146
rem_406,real,264,161,161
inj_1377,real,308,161,161
inj_1378,real,278,161,161
rem_406,pix2pix,264,161,161
inj_1377,pix2pix,310,161,161
rem_939,real,280,161,161
rem_407,real,472,180,180
inj_1383,real,374,180,180
rem_407,pix2pix,472,180,180
inj_1383,pix2pix,390,180,180
inj_1384,pix2pix,352,180,180
inj_1384,real,360,180,180
rem_940,real,479,180,180
rem_409,real,405,150,150
rem_409,pix2pix,414,150,150
rem_942,real,392,150,150
rem_410,real,492,186,186
rem_411,real,408,186,186
inj_1414,real,372,186,186
inj_1415,real,380,186,186
inj_1417,real,352,186,186
inj_1418,real,348,186,186
rem_410,pix2pix,388,186,186
inj_1415,pix2pix,492,186,186
inj_1416,pix2pix,448,186,186
inj_1418,pix2pix,380,186,186
inj_1416,real,524,186,186
rem_943,real,396,186,186
rem_944,real,328,186,186
rem_414,real,189,161,161
inj_1446,real,207,161,161
inj_1447,real,72,161,161
inj_1448,real,174,161,161
rem_413,real,183,161,161
rem_415,real,96,161,161
rem_946,real,198,161,161
rem_947,real,147,161,161
rem_948,real,144,161,161
rem_417,real,90,180,180
inj_1456,real,146,180,180
inj_1456,pix2pix,166,180,180
rem_950,real,91,180,180
rem_418,real,118,170,170
inj_1457,real,128,170,170
rem_418,pix2pix,154,170,170
inj_1457,pix2pix,120,170,170
rem_951,real,110,170,170
rem_419,real,220,210,210
rem_419,pix2pix,205,210,210
rem_952,real,231,210,210
rem_42,real,159,243,243
rem_43,real,119,243,243
rem_575,real,155,243,243
inj_2073,real,154,243,243
rem_42,pix2pix,154,243,243
rem_43,pix2pix,139,243,243
rem_575,pix2pix,175,243,243
rem_576,pix2pix,119,243,243
inj_2073,pix2pix,170,243,243
rem_576,real,146,243,243
inj_98,real,162,243,243
rem_420,real,212,165,165
inj_1465,real,262,165,165
inj_1466,real,50,165,165
inj_1468,real,190,165,165
rem_420,pix2pix,182,165,165
inj_1466,pix2pix,68,165,165
inj_1467,pix2pix,125,165,165
inj_1468,pix2pix,192,165,165
inj_1467,real,152,165,165
rem_953,real,180,165,165
rem_423,real,165,212,212
rem_423,pix2pix,172,212,212
rem_956,real,190,212,212
rem_424,real,268,190,190
inj_1487,real,252,190,190
rem_424,pix2pix,264,190,190
inj_1487,pix2pix,298,190,190
rem_957,real,320,190,190
rem_426,real,234,160,160
rem_427,real,106,160,160
inj_1490,real,134,160,160
inj_1492,real,134,160,160
inj_1493,real,150,160,160
inj_1494,real,140,160,160
inj_1495,real,159,160,160
inj_1496,real,120,160,160
inj_1497,real,121,160,160
rem_425,pix2pix,82,160,160
rem_427,pix2pix,91,160,160
inj_1489,pix2pix,214,160,160
inj_1491,pix2pix,173,160,160
inj_1492,pix2pix,133,160,160
inj_1493,pix2pix,127,160,160
inj_1494,pix2pix,145,160,160
inj_1495,pix2pix,172,160,160
inj_1496,pix2pix,128,160,160
inj_1497,pix2pix,124,160,160
rem_425,real,81,160,160
inj_1489,real,226,160,160
inj_1491,real,181,160,160
rem_958,real,91,160,160
rem_959,real,231,160,160
rem_960,real,94,160,160
rem_428,real,52,200,200
rem_428,pix2pix,112,200,200
rem_961,real,98,200,200
rem_430,real,157,150,150
inj_1503,real,256,150,150
inj_1504,real,94,150,150
inj_1505,real,97,150,150
inj_1508,real,132,150,150
inj_1509,real,246,150,150
rem_430,pix2pix,168,150,150
inj_1503,pix2pix,236,150,150
inj_1504,pix2pix,72,150,150
inj_1505,pix2pix,82,150,150
inj_1506,pix2pix,50,150,150
inj_1507,pix2pix,63,150,150
inj_1509,pix2pix,240,150,150
inj_1510,pix2pix,106,150,150
inj_1511,pix2pix,155,150,150
inj_1506,real,55,150,150
inj_1507,real,94,150,150
inj_1510,real,124,150,150
inj_1511,real,147,150,150
rem_963,real,178,150,150
rem_432,real,171,170,170
inj_1512,real,97,170,170
inj_1513,real,202,170,170
rem_432,pix2pix,156,170,170
inj_1512,pix2pix,120,170,170
rem_431,real,200,170,170
rem_964,real,204,170,170
rem_965,real,169,170,170
rem_433,real,182,180,180
inj_1524,real,132,180,180
inj_1525,real,246,180,180
rem_433,pix2pix,174,180,180
inj_1524,pix2pix,150,180,180
inj_1525,pix2pix,258,180,180
rem_966,real,180,180,180
rem_434,real,82,180,180
rem_435,real,126,180,180
inj_1530,real,169,180,180
inj_1531,real,172,180,180
inj_1532,real,79,180,180
inj_1533,real,65,180,180
inj_1534,real,146,180,180
rem_434,pix2pix,81,180,180
inj_1529,pix2pix,95,180,180
inj_1530,pix2pix,174,180,180
inj_1532,pix2pix,68,180,180
inj_1533,pix2pix,80,180,180
inj_1529,real,71,180,180
rem_967,real,78,180,180
rem_968,real,161,180,180
rem_436,real,86,145,145
inj_1539,real,194,145,145
inj_1540,real,172,145,145
inj_1541,real,282,145,145
rem_436,pix2pix,86,145,145
inj_1539,pix2pix,226,145,145
inj_1540,pix2pix,226,145,145
inj_1541,pix2pix,254,145,145
rem_969,real,58,145,145
rem_437,real,165,204,204
rem_437,pix2pix,172,204,204
rem_970,real,166,204,204
rem_438,real,370,170,170
rem_438,pix2pix,394,170,170
rem_971,real,398,170,170
rem_44,real,200,165,165
rem_577,real,132,165,165
inj_100,real,188,165,165
inj_101,real,175,165,165
inj_102,real,190,165,165
inj_103,real,190,165,165
inj_104,real,140,165,165
inj_106,real,178,165,165
inj_107,real,115,165,165
inj_109,real,158,165,165
inj_110,real,180,165,165
inj_111,real,138,165,165
inj_112,real,152,165,165
inj_2074,real,180,165,165
inj_2075,real,162,165,165
inj_2076,real,142,165,165
inj_2077,real,170,165,165
inj_2078,real,132,165,165
inj_2079,real,212,165,165
inj_2080,real,245,165,165
inj_2081,real,125,165,165
inj_2082,real,180,165,165
inj_2083,real,178,165,165
inj_2084,real,185,165,165
inj_2085,real,132,165,165
inj_2086,real,192,165,165
inj_2087,real,198,165,165
rem_44,pix2pix,175,165,165
rem_577,pix2pix,142,165,165
inj_100,pix2pix,152,165,165
inj_101,pix2pix,138,165,165
inj_103,pix2pix,158,165,165
inj_105,pix2pix,222,165,165
inj_106,pix2pix,192,165,165
inj_107,pix2pix,175,165,165
inj_108,pix2pix,162,165,165
inj_109,pix2pix,160,165,165
inj_110,pix2pix,178,165,165
inj_111,pix2pix,145,165,165
inj_112,pix2pix,135,165,165
inj_2074,pix2pix,168,165,165
inj_2075,pix2pix,210,165,165
inj_2078,pix2pix,205,165,165
inj_2080,pix2pix,240,165,165
inj_2081,pix2pix,198,165,165
inj_2082,pix2pix,125,165,165
inj_2085,pix2pix,168,165,165
inj_2086,pix2pix,135,165,165
inj_2087,pix2pix,212,165,165
inj_105,real,270,165,165
inj_108,real,180,165,165
inj_99,real,188,165,165
rem_441,real,111,182,182
rem_442,real,102,182,182
inj_1553,real,147,182,182
rem_974,real,93,182,182
rem_975,real,39,182,182
rem_447,real,76,160,160
inj_1596,real,110,160,160
inj_1597,real,101,160,160
rem_447,pix2pix,71,160,160
inj_1596,pix2pix,142,160,160
inj_1597,pix2pix,129,160,160
rem_980,real,94,160,160
rem_448,real,156,140,140
rem_449,real,266,140,140
inj_1637,real,228,140,140
rem_448,pix2pix,140,140,140
inj_1637,pix2pix,251,140,140
rem_981,real,142,140,140
rem_982,real,271,140,140
rem_450,real,459,150,150
inj_1638,real,286,150,150
inj_1639,real,392,150,150
inj_1641,real,475,150,150
inj_1638,pix2pix,296,150,150
inj_1639,pix2pix,381,150,150
inj_1640,pix2pix,285,150,150
inj_1641,pix2pix,454,150,150
inj_1640,real,282,150,150
rem_983,real,476,150,150
rem_451,real,199,195,195
inj_1646,real,164,195,195
inj_1647,real,93,195,195
inj_1648,real,214,195,195
inj_1651,real,200,195,195
inj_1652,real,239,195,195
rem_451,pix2pix,208,195,195
inj_1646,pix2pix,182,195,195
inj_1648,pix2pix,225,195,195
inj_1649,pix2pix,207,195,195
inj_1650,pix2pix,134,195,195
inj_1651,pix2pix,188,195,195
inj_1652,pix2pix,248,195,195
inj_1649,real,211,195,195
inj_1650,real,146,195,195
rem_984,real,202,195,195
rem_452,real,224,190,190
inj_1653,real,150,190,190
inj_1654,real,358,190,190
rem_452,pix2pix,225,190,190
inj_1654,pix2pix,355,190,190
rem_985,real,211,190,190
rem_453,real,211,160,160
rem_454,real,191,160,160
inj_1661,real,260,160,160
inj_1662,real,484,160,160
inj_1664,real,180,160,160
inj_1665,real,411,160,160
rem_453,pix2pix,208,160,160
inj_1661,pix2pix,258,160,160
inj_1662,pix2pix,502,160,160
inj_1663,pix2pix,266,160,160
inj_1664,pix2pix,200,160,160
inj_1665,pix2pix,411,160,160
inj_1663,real,265,160,160
rem_986,real,209,160,160
rem_987,real,194,160,160
rem_456,real,246,181,181
rem_457,real,195,181,181
inj_1680,real,225,181,181
inj_1681,real,117,181,181
inj_1683,real,15,181,181
inj_1684,real,141,181,181
inj_1686,real,102,181,181
inj_1687,real,96,181,181
inj_1689,real,117,181,181
inj_1690,real,147,181,181
inj_1691,real,120,181,181
inj_1692,real,159,181,181
inj_1693,real,165,181,181
inj_1682,real,141,181,181
inj_1685,real,54,181,181
inj_1688,real,81,181,181
rem_989,real,219,181,181
rem_990,real,243,181,181
rem_459,real,308,180,180
inj_1697,real,219,180,180
inj_1698,real,186,180,180
inj_1699,real,221,180,180
inj_1700,real,139,180,180
inj_1701,real,171,180,180
inj_1703,real,202,180,180
inj_1704,real,236,180,180
inj_1705,real,325,180,180
inj_1706,real,106,180,180
inj_1707,real,208,180,180
rem_458,pix2pix,138,180,180
rem_459,pix2pix,299,180,180
inj_1697,pix2pix,232,180,180
inj_1698,pix2pix,155,180,180
inj_1699,pix2pix,215,180,180
inj_1700,pix2pix,154,180,180
inj_1701,pix2pix,154,180,180
inj_1702,pix2pix,309,180,180
inj_1703,pix2pix,200,180,180
inj_1704,pix2pix,251,180,180
inj_1705,pix2pix,349,180,180
inj_1706,pix2pix,84,180,180
inj_1707,pix2pix,230,180,180
rem_458,real,164,180,180
inj_1702,real,300,180,180
rem_991,real,140,180,180
rem_992,real,288,180,180
rem_460,real,66,190,190
inj_1709,real,210,190,190
inj_1709,pix2pix,216,190,190
rem_993,real,64,190,190
rem_462,real,465,170,170
inj_1754,real,401,170,170
inj_1755,real,148,170,170
inj_1756,real,284,170,170
rem_462,pix2pix,431,170,170
inj_1754,pix2pix,414,170,170
inj_1755,pix2pix,152,170,170
inj_1756,pix2pix,309,170,170
rem_995,real,449,170,170
rem_463,real,99,171,171
rem_464,real,39,171,171
rem_463,pix2pix,99,171,171
rem_996,real,75,171,171
rem_997,real,47,171,171
rem_465,real,210,200,200
inj_1757,real,68,200,200
inj_1758,real,34,200,200
inj_1759,real,155,200,200
inj_1760,real,26,200,200
inj_1761,real,119,200,200
inj_1762,real,46,200,200
rem_465,pix2pix,209,200,200
inj_1757,pix2pix,69,200,200
inj_1758,pix2pix,51,200,200
inj_1760,pix2pix,48,200,200
inj_1761,pix2pix,151,200,200
inj_1762,pix2pix,41,200,200
inj_1763,pix2pix,42,200,200
inj_1763,real,46,200,200
rem_998,real,185,200,200
rem_625,real,93,147,147
rem_92,real,108,147,147
rem_626,real,231,166,166
rem_93,real,219,166,166
rem_627,real,346,138,138
inj_205,real,296,138,138
inj_205,pix2pix,288,138,138
inj_2180,pix2pix,298,138,138
inj_2180,real,322,138,138
rem_94,real,396,138,138
rem_628,real,166,242,242
rem_629,real,196,242,242
rem_631,real,220,242,242
rem_630,real,44,242,242
rem_95,real,156,242,242
rem_96,real,142,242,242
rem_97,real,76,242,242
rem_98,real,222,242,242
rem_632,real,129,235,235
inj_206,real,160,235,235
inj_2181,real,152,235,235
inj_206,pix2pix,135,235,235
inj_2181,pix2pix,152,235,235
rem_99,real,126,235,235
rem_828,real,52,150,150
rem_295,pix2pix,39,150,150
rem_295,real,35,150,150
inj_852,real,180,150,150
inj_853,real,142,150,150
rem_841,real,145,190,190
rem_308,pix2pix,116,190,190
rem_308,real,119,190,190
inj_899,real,154,190,190
inj_900,real,36,190,190
inj_901,real,68,190,190
inj_902,real,155,190,190
rem_845,real,189,160,160
rem_312,pix2pix,206,160,160
rem_312,real,217,160,160
inj_919,real,80,160,160
rem_864,real,146,180,180
rem_331,pix2pix,168,180,180
rem_331,real,165,180,180
inj_974,real,145,180,180
rem_873,real,238,150,150
rem_340,pix2pix,235,150,150
rem_340,real,250,150,150
inj_993,real,168,150,150
inj_994,real,210,150,150
inj_995,real,158,150,150
inj_1000,real,105,184,184
inj_1001,real,94,184,184
inj_1002,real,101,184,184
inj_1003,real,131,184,184
inj_1000,pix2pix,127,184,184
inj_1001,pix2pix,107,184,184
inj_1002,pix2pix,95,184,184
inj_1003,pix2pix,160,184,184
inj_998,real,118,184,184
inj_999,real,160,184,184
inj_1259,real,158,151,151
inj_1260,real,164,151,151
inj_1261,real,121,151,151
inj_1263,real,174,151,151
rem_381,pix2pix,152,151,151
inj_1259,pix2pix,164,151,151
inj_1260,pix2pix,168,151,151
inj_1264,pix2pix,51,151,151
rem_381,real,160,151,151
inj_1262,real,88,151,151
inj_1264,real,74,151,151
rem_914,real,155,151,151
inj_1339,real,21,145,145
inj_1340,real,108,145,145
inj_1341,real,85,145,145
inj_1342,real,164,145,145
rem_396,pix2pix,58,145,145
inj_1339,pix2pix,-1,145,145
inj_1340,pix2pix,111,145,145
inj_1341,pix2pix,61,145,145
inj_1342,pix2pix,159,145,145
inj_1343,pix2pix,20,145,145
rem_396,real,46,145,145
inj_1343,real,21,145,145
rem_929,real,56,145,145
inj_1355,real,284,155,155
rem_398,pix2pix,501,155,155
inj_1355,pix2pix,298,155,155
rem_398,real,464,155,155
rem_931,real,468,155,155
inj_1398,real,170,170,170
inj_1398,pix2pix,188,170,170
rem_408,real,62,170,170
rem_941,real,72,170,170
inj_1452,real,261,166,166
inj_1453,real,162,166,166
inj_1454,real,189,166,166
inj_1455,real,228,166,166
rem_416,real,234,166,166
rem_949,real,204,166,166
inj_1501,real,165,184,184
inj_1502,real,117,184,184
rem_429,real,72,184,184
inj_1499,real,153,184,184
inj_1500,real,186,184,184
rem_962,real,69,184,184
inj_1547,real,380,185,185
rem_439,pix2pix,350,185,185
inj_1547,pix2pix,348,185,185
rem_439,real,378,185,185
rem_972,real,362,185,185
inj_1563,real,49,184,184
rem_444,pix2pix,76,184,184
inj_1563,pix2pix,32,184,184
rem_444,real,59,184,184
rem_977,real,71,184,184
inj_1577,real,231,166,166
inj_1578,real,212,166,166
inj_1579,real,314,166,166
inj_1580,real,188,166,166
inj_1581,real,220,166,166
rem_445,pix2pix,226,166,166
inj_1577,pix2pix,224,166,166
inj_1578,pix2pix,224,166,166
inj_1580,pix2pix,178,166,166
inj_1581,pix2pix,214,166,166
rem_445,real,205,166,166
rem_978,real,212,166,166
inj_1667,real,144,160,160
rem_455,pix2pix,254,160,160
inj_1666,pix2pix,182,160,160
inj_1667,pix2pix,145,160,160
rem_455,real,241,160,160
inj_1666,real,171,160,160
rem_988,real,225,160,160
inj_1729,real,182,170,170
inj_1730,real,211,170,170
rem_461,pix2pix,172,170,170
inj_1730,pix2pix,202,170,170
rem_461,real,186,170,170
rem_994,real,170,170,170
inj_1770,real,396,169,169
inj_1771,real,354,169,169
rem_466,pix2pix,324,169,169
inj_1770,pix2pix,384,169,169
inj_1771,pix2pix,352,169,169
rem_466,real,348,169,169
rem_999,real,332,169,169
inj_1983,real,170,200,200
inj_1984,real,112,200,200
inj_1983,pix2pix,118,200,200
inj_1984,pix2pix,82,200,200
inj_8,real,140,200,200
inj_9,real,110,200,200
inj_2050,real,180,180,180
inj_2051,real,230,180,180
inj_2052,real,205,180,180
inj_2053,real,230,180,180
inj_2054,real,198,180,180
inj_2055,real,85,180,180
inj_2056,real,150,180,180
inj_2058,real,60,180,180
inj_2059,real,170,180,180
inj_75,real,172,180,180
inj_76,real,240,180,180
inj_2050,pix2pix,170,180,180
inj_2051,pix2pix,210,180,180
inj_2052,pix2pix,182,180,180
inj_2053,pix2pix,150,180,180
inj_2054,pix2pix,158,180,180
inj_2055,pix2pix,112,180,180
inj_2056,pix2pix,82,180,180
inj_2057,pix2pix,245,180,180
inj_2058,pix2pix,128,180,180
inj_2059,pix2pix,132,180,180
inj_2057,real,220,180,180
inj_77,real,192,180,180
inj_78,real,195,180,180
inj_79,real,138,180,180
inj_80,real,108,180,180
inj_81,real,145,180,180
inj_82,real,232,180,180
inj_83,real,92,180,180
inj_84,real,135,180,180
inj_2066,real,250,190,190
inj_2068,real,198,190,190
inj_2069,real,185,190,190
inj_2070,real,210,190,190
inj_2071,real,188,190,190
inj_2072,real,265,190,190
inj_2066,pix2pix,228,190,190
inj_2068,pix2pix,192,190,190
inj_2069,pix2pix,162,190,190
inj_2070,pix2pix,250,190,190
inj_2071,pix2pix,258,190,190
inj_2072,pix2pix,230,190,190
inj_91,real,228,190,190
inj_93,real,218,190,190
inj_94,real,175,190,190
inj_95,real,200,190,190
inj_96,real,215,190,190
inj_97,real,275,190,190
inj_764,real,314,214,214
inj_765,real,220,214,214
inj_766,real,346,214,214
inj_767,real,386,214,214
inj_768,real,268,214,214
rem_386,pix2pix,228,195,195
rem_412,pix2pix,60,160,160
inj_1434,pix2pix,40,160,160
